,date,signal,target,qrank,stat_type,value
266,20000105,signal_MR_1d,fret_RR_1d,qr_75,sharpe,-1.603602853019807
267,20000105,signal_MR_1d,fret_MR_1d,qr_75,sharpe,-1.0735888686259123
268,20000105,signal_MR_1d,fret_RR_1d,qr_50,sharpe,-1.9591875827495062
269,20000105,signal_MR_1d,fret_MR_1d,qr_50,sharpe,-1.3462111269311186
270,20000105,signal_MR_1d,fret_RR_1d,qr_25,sharpe,-2.012339852052284
271,20000105,signal_MR_1d,fret_MR_1d,qr_25,sharpe,-1.4587869327178298
272,20000105,signal_RR_1d,fret_RR_1d,qr_100,hit_ratio,0.3971232020012508
273,20000105,signal_RR_1d,fret_MR_1d,qr_100,hit_ratio,0.4618511569731082
274,20000105,signal_RR_1d,fret_RR_1d,qr_75,hit_ratio,0.4164235097957482
275,20000105,signal_RR_1d,fret_MR_1d,qr_75,hit_ratio,0.5027094622759483
276,20000105,signal_RR_1d,fret_RR_1d,qr_50,hit_ratio,0.4071294559099437
277,20000105,signal_RR_1d,fret_MR_1d,qr_50,hit_ratio,0.5028142589118199
278,20000105,signal_RR_1d,fret_RR_1d,qr_25,hit_ratio,0.37875
279,20000105,signal_RR_1d,fret_MR_1d,qr_25,hit_ratio,0.48375
280,20000105,signal_MR_1d,fret_RR_1d,qr_100,hit_ratio,0.41776110068792993
281,20000105,signal_MR_1d,fret_MR_1d,qr_100,hit_ratio,0.4996873045653533
282,20000105,signal_MR_1d,fret_RR_1d,qr_75,hit_ratio,0.4124270225187656
283,20000105,signal_MR_1d,fret_MR_1d,qr_75,hit_ratio,0.5020850708924104
284,20000105,signal_MR_1d,fret_RR_1d,qr_50,hit_ratio,0.4046278924327705
285,20000105,signal_MR_1d,fret_MR_1d,qr_50,hit_ratio,0.50093808630394
286,20000105,signal_MR_1d,fret_RR_1d,qr_25,hit_ratio,0.37875
287,20000105,signal_MR_1d,fret_MR_1d,qr_25,hit_ratio,0.485
288,20000105,signal_RR_1d,fret_RR_1d,qr_100,long_ratio,0.22607879924953095
289,20000105,signal_RR_1d,fret_MR_1d,qr_100,long_ratio,0.22607879924953095
290,20000105,signal_RR_1d,fret_RR_1d,qr_75,long_ratio,0.21175489787411422
291,20000105,signal_RR_1d,fret_MR_1d,qr_75,long_ratio,0.21175489787411422
292,20000105,signal_RR_1d,fret_RR_1d,qr_50,long_ratio,0.15947467166979362
293,20000105,signal_RR_1d,fret_MR_1d,qr_50,long_ratio,0.15947467166979362
294,20000105,signal_RR_1d,fret_RR_1d,qr_25,long_ratio,0.1575
295,20000105,signal_RR_1d,fret_MR_1d,qr_25,long_ratio,0.1575
296,20000105,signal_MR_1d,fret_RR_1d,qr_100,long_ratio,0.21982489055659787
297,20000105,signal_MR_1d,fret_MR_1d,qr_100,long_ratio,0.21982489055659787
298,20000105,signal_MR_1d,fret_RR_1d,qr_75,long_ratio,0.18306922435362802
299,20000105,signal_MR_1d,fret_MR_1d,qr_75,long_ratio,0.18306922435362802
300,20000105,signal_MR_1d,fret_RR_1d,qr_50,long_ratio,0.13758599124452783
301,20000105,signal_MR_1d,fret_MR_1d,qr_50,long_ratio,0.13758599124452783
302,20000105,signal_MR_1d,fret_RR_1d,qr_25,long_ratio,0.1425
303,20000105,signal_MR_1d,fret_MR_1d,qr_25,long_ratio,0.1425
304,20000105,signal_RR_1d,fret_RR_1d,qr_100,spearman,-0.014538463161642819
305,20000105,signal_RR_1d,fret_MR_1d,qr_100,spearman,-0.014538463161642819
306,20000105,signal_RR_1d,fret_RR_1d,qr_75,spearman,-0.03045576080853322
307,20000105,signal_RR_1d,fret_MR_1d,qr_75,spearman,-0.03045576080853322
308,20000105,signal_RR_1d,fret_RR_1d,qr_50,spearman,-0.044933479263274685
309,20000105,signal_RR_1d,fret_MR_1d,qr_50,spearman,-0.044933479263274685
310,20000105,signal_RR_1d,fret_RR_1d,qr_25,spearman,-0.033282422764187664
311,20000105,signal_RR_1d,fret_MR_1d,qr_25,spearman,-0.033282422764187664
312,20000105,signal_MR_1d,fret_RR_1d,qr_100,spearman,-0.014538463161642819
313,20000105,signal_MR_1d,fret_MR_1d,qr_100,spearman,-0.014538463161642819
314,20000105,signal_MR_1d,fret_RR_1d,qr_75,spearman,-0.03815028375290707
315,20000105,signal_MR_1d,fret_MR_1d,qr_75,spearman,-0.03815028375290707
316,20000105,signal_MR_1d,fret_RR_1d,qr_50,spearman,-0.04645246946434761
317,20000105,signal_MR_1d,fret_MR_1d,qr_50,spearman,-0.04645246946434761
318,20000105,signal_MR_1d,fret_RR_1d,qr_25,spearman,-0.034283908660867
319,20000105,signal_MR_1d,fret_MR_1d,qr_25,spearman,-0.034283908660867
320,20000105,signal_RR_1d,fret_RR_1d,qr_100,n,3198.0
321,20000105,signal_RR_1d,fret_MR_1d,qr_100,n,3198.0
322,20000105,signal_RR_1d,fret_RR_1d,qr_75,n,2399.0
323,20000105,signal_RR_1d,fret_MR_1d,qr_75,n,2399.0
324,20000105,signal_RR_1d,fret_RR_1d,qr_50,n,1599.0
325,20000105,signal_RR_1d,fret_MR_1d,qr_50,n,1599.0
326,20000105,signal_RR_1d,fret_RR_1d,qr_25,n,800.0
327,20000105,signal_RR_1d,fret_MR_1d,qr_25,n,800.0
